FID,pointid,b1_S2,b2_S2,b3_S2,b4_S2,b5_S2,b6_S2,b7_S2,b8_S2,b9_S2,b10_S2,b11_S2,b12_S2,b13_S2,b14_S2,b15_S2,b16_S2,b17_S2,b18_S2,Classname,Classvalue
0,397,82,86,99,135,117,109,118,90,124,164,173,133,229,259,325,250,154,298,Permenant Water,1
1,398,70,69,84,112,125,127,117,71,146,154,138,124,186,124,173,206,116,180,Permenant Water,1
2,399,67,81,76,89,134,159,125,85,158,152,145,134,165,155,122,198,101,129,Permenant Water,1
3,400,124,176,194,204,98,94,42,32,88,197,184,161,168,84,98,88,66,93,Permenant Water,1
4,401,135,169,192,188,85,117,38,32,82,192,187,161,180,106,106,108,72,95,Permenant Water,1
5,402,143,188,211,198,110,109,31,31,69,208,193,185,194,91,103,85,64,90,Permenant Water,1
6,403,124,178,209,209,108,93,36,38,76,196,195,177,175,98,100,88,65,86,Permenant Water,1
7,404,124,181,210,183,95,115,42,29,78,189,193,173,165,91,97,89,68,85,Permenant Water,1
8,405,131,176,204,185,98,99,38,37,58,192,194,163,178,89,95,87,60,87,Permenant Water,1
9,406,118,174,194,193,93,94,42,32,65,190,187,163,172,88,97,84,68,83,Permenant Water,1
10,407,130,173,198,191,78,94,41,29,79,183,187,161,174,103,105,93,61,83,Permenant Water,1
11,408,142,185,220,207,100,98,39,29,64,194,207,186,185,102,111,88,62,98,Permenant Water,1
12,409,142,183,209,195,98,91,37,34,62,198,205,181,181,94,113,87,62,96,Permenant Water,1
13,410,128,176,205,199,100,98,47,33,89,187,193,167,170,94,114,87,53,93,Permenant Water,1
14,411,142,177,203,196,108,96,41,41,63,199,194,167,182,90,100,87,51,79,Permenant Water,1
15,412,128,173,200,169,91,95,40,27,64,187,192,167,181,94,118,88,63,79,Permenant Water,1
16,413,130,173,200,189,97,82,51,29,87,194,190,164,163,107,108,91,64,80,Permenant Water,1
17,414,143,184,219,205,107,116,43,25,70,201,202,183,181,103,107,101,66,102,Permenant Water,1
18,415,139,183,216,195,111,92,42,31,59,200,202,179,180,104,112,89,61,103,Permenant Water,1
19,416,166,206,245,224,141,120,59,42,128,192,201,176,177,106,114,93,64,98,Permenant Water,1
20,417,151,180,213,207,121,119,40,35,70,194,193,173,182,99,99,89,60,77,Permenant Water,1
21,418,142,173,205,177,90,99,39,24,75,185,188,171,190,108,131,88,62,91,Permenant Water,1
22,2341,347,642,606,721,298,275,44,46,168,269,321,268,272,154,168,105,87,120,Permenant Water,1
23,2342,348,672,645,753,309,299,43,43,177,267,327,273,270,148,152,113,80,121,Permenant Water,1
24,2343,377,690,688,800,311,295,42,30,172,274,321,274,278,147,163,113,87,122,Permenant Water,1
25,2344,377,710,699,799,320,306,53,37,164,280,326,279,287,154,161,117,102,126,Permenant Water,1
26,2345,371,710,707,799,322,311,46,45,153,294,335,290,300,166,161,120,107,132,Permenant Water,1
27,2346,310,563,501,603,249,231,51,41,151,257,316,274,284,164,161,110,83,139,Permenant Water,1
28,2347,319,605,541,666,278,266,49,37,152,269,319,272,275,169,168,113,85,134,Permenant Water,1
29,2348,350,625,589,727,286,273,51,46,157,269,316,277,275,158,164,111,89,123,Permenant Water,1
30,2349,345,675,637,748,304,303,54,55,166,263,319,281,275,150,158,113,94,122,Permenant Water,1
31,2350,289,495,452,560,221,212,63,44,138,272,317,276,273,163,196,122,90,137,Permenant Water,1
32,2351,299,528,461,573,236,228,65,45,137,265,327,278,266,145,190,128,94,114,Permenant Water,1
33,2352,309,552,480,609,243,235,55,62,150,262,312,281,272,163,181,119,81,125,Permenant Water,1
34,2353,322,576,533,646,262,249,57,50,151,281,311,288,278,157,165,117,99,124,Permenant Water,1
35,2354,286,505,448,521,221,235,77,46,138,261,317,278,295,199,188,151,97,194,Permenant Water,1
36,2355,290,504,444,533,211,217,56,58,144,274,320,284,290,179,185,126,102,156,Permenant Water,1
37,2356,286,522,442,530,204,203,52,44,127,265,314,285,302,158,165,121,99,139,Permenant Water,1
38,2357,274,474,424,491,202,200,69,51,132,293,328,291,318,170,198,143,100,181,Permenant Water,1
39,3305,282,455,449,475,174,169,32,24,99,554,613,552,579,490,467,382,311,436,Permenant Water,1
40,3306,283,458,453,451,173,187,29,22,96,557,589,544,592,488,476,373,306,437,Permenant Water,1
41,3307,274,478,452,463,178,187,28,23,90,531,572,522,562,462,441,347,300,400,Permenant Water,1
42,3308,286,465,447,459,177,165,27,18,98,501,544,485,520,440,404,325,265,372,Permenant Water,1
43,3309,289,462,435,465,182,161,34,26,107,565,618,567,593,487,486,378,320,449,Permenant Water,1
44,3310,285,459,447,459,172,167,33,26,91,573,622,569,628,492,499,386,321,450,Permenant Water,1
45,3311,282,474,460,463,180,171,24,22,99,531,588,521,576,451,452,363,297,405,Permenant Water,1
46,3312,293,474,447,469,172,170,29,23,88,482,529,483,508,396,390,315,250,354,Permenant Water,1
47,3313,271,462,442,461,187,167,32,33,105,565,614,559,602,485,471,375,311,436,Permenant Water,1
48,3314,283,456,443,459,176,170,34,27,102,561,622,556,613,497,477,375,315,442,Permenant Water,1
49,3315,285,471,443,465,181,170,32,21,101,549,606,550,588,489,463,360,304,434,Permenant Water,1
50,3316,290,464,446,467,174,162,32,15,92,518,562,514,558,455,434,327,266,390,Permenant Water,1
51,3317,285,467,450,462,173,171,33,16,96,519,574,524,557,465,437,335,273,406,Permenant Water,1
52,3318,282,464,451,453,161,162,27,14,103,518,573,502,530,438,431,322,268,392,Permenant Water,1
53,4567,262,404,451,381,152,139,14,5,86,281,285,227,227,186,194,75,64,176,Permenant Water,1
54,4568,261,402,447,379,161,135,10,14,95,286,298,228,221,201,202,85,55,164,Permenant Water,1
55,4569,262,410,451,397,147,130,10,16,96,277,292,228,229,185,192,77,56,169,Permenant Water,1
56,4570,258,404,448,378,156,150,8,1,83,286,286,225,228,189,194,84,58,179,Permenant Water,1
57,4571,261,396,437,374,155,138,9,14,84,282,300,236,244,200,206,87,64,194,Permenant Water,1
58,4572,267,402,442,395,134,150,11,13,84,291,315,250,258,211,215,98,87,170,Permenant Water,1
59,4573,278,415,451,386,152,134,8,11,83,282,289,229,237,202,203,81,66,173,Permenant Water,1
60,4574,270,409,449,385,153,143,14,19,83,291,295,236,244,205,213,84,64,174,Permenant Water,1
61,4575,261,415,449,390,142,139,14,14,90,286,294,243,253,197,211,96,79,173,Permenant Water,1
62,4576,264,410,451,396,159,137,21,7,84,289,307,247,249,210,217,96,75,212,Permenant Water,1
63,4577,265,403,448,393,145,129,14,15,88,278,296,229,235,205,212,80,64,179,Permenant Water,1
64,4578,273,409,452,388,159,153,14,9,85,275,290,225,235,205,212,79,61,177,Permenant Water,1
65,4579,264,407,442,377,155,132,7,1,88,292,293,241,242,191,207,82,70,188,Permenant Water,1
66,4580,261,407,457,379,153,154,13,13,86,292,305,254,251,216,208,99,77,200,Permenant Water,1
67,4581,190,359,313,320,106,112,23,26,57,225,260,215,185,80,75,73,54,62,Permenant Water,1
68,4582,200,364,322,329,106,106,27,19,70,235,250,204,197,79,71,75,58,53,Permenant Water,1
69,4583,199,363,314,331,115,99,31,22,69,230,260,204,207,93,79,75,57,59,Permenant Water,1
